"_avatar","Choose your avatar!"
"_chainingConditions_description","Given in input the number of false and true booleans to be chained and which operation to chain them, return the final result of the evaluation.<br>The only allowed operations are 'and', 'or' and 'not', return false when the chaining of booleans does not make sense."
"_chainingConditions_hint_1","Think about what is the minimum requirement to return true given some booleans, true and false is false but true or false is true."
"_chainingConditions_hint_2","It doesn't really make sense to have more than one boolean when the operation is 'not', the negation operation is unary and as such can't be use for any chaining."
"_sumOf2Bits_description","Given in input the amount of bits you have for storage and the value of 2 booleans bits, return if their sum can fit in the storage at your disposal."
"_sumOf2Bits_hint_1","Think about what happens when the 2 booleans are both true, they are representing a 1 each and by summing them you would get a 2, can you fit that in 1 bit?"
"_sumOf2Bits_hint_2","What about when the 2 booleans are both false, they are representing a 0 each and by summing them you would get a 0, is it possible to store a 0 in 0 bits?"
"_limitChecking_description","Given in input a main int, 2 ints representing the lower and upper limit and an helper float, return if the main int is contained between the limits.<br>The int can be modified only once by either multiplying or dividing it with the helper float before answering.<br>Furthermore, after using the helper you should round the result towards the limit."
"_limitChecking_hint_1","Remember that the library 'math.h' offers 3 rounding functions: 'ceil', 'round' and 'floor', but they all differ in the way their rounding works, for this function you will only need 2 of them."
"_limitChecking_hint_2","Did you take into account that helper could be between 0 and 1? Multiplication and division would swap in that case!"
"_helloWorld_description","Given in input an int, return the string 'Hello world' followed by as many '!' as the value of the int."
"_helloWorld_hint_1","Remember that the '+' operation can be used to concatenate string with strings and string with chars."
"_fibonacci_description","Given in input an int, return the number in the fibonacci sequence at the index of the value of the int.<br>The fibonacci sequence starts from index 0 with 0, 1, 1, 2, 3... where every number in the sequence is equal to the sum of the 2 previous ones."
"_fibonacci_hint_1","The easiest way to calculate the fibonacci sequence is by using recursion, just make sure to change the argument every time you call the function."
"_fibonacci_hint_2","Did you take into account the base cases? Without a stopping point, your code would be stuck forever, think about which values in the sequence do not depend from the 2 previous numbers."
"_structTraversal_description","Given in input the number of left turns that you have to take, return the sum of the values encountered, after you finishing the left turns you should continue as much as you can with right turns.<br>You will be able to access a variable of type 'Node*' called 'root', it contains 3 pointers, one called 'left' which represent a left turn, one called 'right' which represent a right turn and one called 'value' that represents its value, 'left' and 'right' point to a different 'Node*', if one exists."
"_structTraversal_hint_1","Working with pointers can be confusing, accessing a 'Node*' value with node->value will return an int, but node->left will return another 'Node*' or 'nullptr'."
"_structTraversal_hint_2","It is possible to traverse a list of pointers by using the same data structure, by creating a 'Node*' and setting it equal to 'root' you can now access 'left' of the new variable and receive the same pointer as if you had done root->left."
"_structTraversal_hint_3","Did you take into account the 'root' initial value?"
